data;format;is_mandatory;mask;label_csv;default_value
altitudemax;file_dbb;0;;altMax;
altitudemin;file_dbb;0;;altMin;
altitudemoyenne;file_dbb;0;;altMoy;
anneerefcommune;file_dbb;0;;anRefCom;
anneerefdepartement;file_dbb;0;;anRefDept;
cdnom;file_dbb;0;;cdNom;
cdref;file_dbb;0;;cdRef;
codecommune;file_dbb;0;;cdCom;
codedepartement;file_dbb;0;;cdDept;
codemaille;file_dbb;0;;cdM10;
commentaire;file_dbb;0;;comment;
datedetermination;file_dbb;0;dd/MM/yyyy;dateDet;
denombrementmax;file_dbb;0;;denbrMax;
denombrementmin;file_dbb;0;;denbrMin;
determinateuridentite;file_dbb;0;;detId;
determinateurnomorganisme;file_dbb;0;;detNomOrg;
dspublique;file_dbb;1;;dSPublique;
geometrie;file_dbb;0;;WKT;
heuredatedebut;file_dbb;0;HH:mm;heureDebut;
heuredatefin;file_dbb;0;HH:mm;heureFin;
identifiantorigine;file_dbb;0;;idOrigine;
identifiantpermanent;file_dbb;1;;permId;
identifiantregroupementpermanent;file_dbb;0;;permIdGrp;
jddsourceid;file_dbb;0;;jddSourId;
jourdatedebut;file_dbb;1;dd/MM/yyyy;dateDebut;
jourdatefin;file_dbb;1;dd/MM/yyyy;dateFin;
methoderegroupement;file_dbb;0;;methGrp;
natureobjetgeo;file_dbb;0;;natObjGeo;
nomcite;file_dbb;1;;nomCite;
nomcommune;file_dbb;0;;nomCom;
nomrefmaille;file_dbb;0;;nomRefM10;
objetdenombrement;file_dbb;0;;objDenbr;
obscontexte;file_dbb;0;;obsCtx;
obsdescription;file_dbb;0;;obsDescr;
observateuridentite;file_dbb;1;;obsId;
observateurnomorganisme;file_dbb;1;;obsNomOrg;
obsmethode;file_dbb;0;;obsMeth;
occetatbiologique;file_dbb;0;;ocEtatBio;
occmethodedetermination;file_dbb;0;;ocMethDet;
occnaturalite;file_dbb;0;;ocNat;
occsexe;file_dbb;0;;ocSex;
occstadedevie;file_dbb;0;;ocStade;
occstatutbiogeographique;file_dbb;0;;ocBiogeo;
occstatutbiologique;file_dbb;0;;ocStatBio;
organismegestionnairedonnee;file_dbb;1;;orgGestDat;
precisiongeometrie;file_dbb;0;;precisGeo;
preuveexistante;file_dbb;0;;preuveOui;
preuvenonnumerique;file_dbb;0;;preuvNoNum;
preuvenumerique;file_dbb;0;;preuvNum;
profondeurmax;file_dbb;0;;profMax;
profondeurmin;file_dbb;0;;profMin;
profondeurmoyenne;file_dbb;0;;profMoy;
referencebiblio;file_dbb;0;;refBiblio;
statutobservation;file_dbb;1;;statObs;
statutsource;file_dbb;1;;statSource;
typedenombrement;file_dbb;0;;typDenbr;
typeinfogeocommune;file_dbb;0;;typInfGeoC;
typeinfogeodepartement;file_dbb;0;;typInfGeoD;
typeinfogeomaille;file_dbb;0;;typInfGeoM;
typeregroupement;file_dbb;0;;typGrp;
versionrefmaille;file_dbb;0;;vRefM10;
abondancehabitat;file_habitat;"0";;abondanceHabitat;
cdhab;file_habitat;"0";;cdHab;
determinateur;file_habitat;"0";;determinateur;
identifiantorigine;file_habitat;"0";;identifiantOrigine;
precisiontechnique;file_habitat;"0";;precisionTechnique;
preuvenumerique;file_habitat;"0";;urlPreuve;
recouvrement;file_habitat;"0";;recouvrement;
releveespeces;file_habitat;"0";;releveEspeces;
relevephyto;file_habitat;"0";;relevePhyto;
sensibilitehab;file_habitat;"0";;sensibiliteHab;
typedeterm;file_habitat;"0";;typeDeterm;
identifianthabsinp;file_habitat;"1";;idHabSINP;
nomcite;file_habitat;"1";;nomCite;
techniquecollecte;file_habitat;"1";;techniqueCollecte;
identifiantstasinp;file_habitat;"1";;idStaSINP;
acidite;file_station;"0";;acidite;
altitudemax;file_station;"0";;altMax;
altitudemin;file_station;"0";;altMin;
altitudemoyenne;file_station;"0";;altMoy;
commentaire;file_station;"0";;comment;
dateimprecise;file_station;"0";;dateImprec;
echellenumerisation;file_station;"0";;echelleNum;
estcomplexehabitats;file_station;"0";;isComplex;
exposition;file_station;"0";;exposition;
geologie;file_station;"0";;geologie;
geometrie;file_station;"0";;wkt;
identifiantoriginestation;file_station;"0";;idOrigSta;
methodecalculsurface;file_station;"0";;methCalcSu;
natureobjetgeo;file_station;"0";;natObjGeo;
nomstation;file_station;"0";;nomStation;
precisiongeometrie;file_station;"0";;precisGeom;
profondeurmax;file_station;"0";;profMax;
profondeurmin;file_station;"0";;profMin;
profondeurmoyenne;file_station;"0";;profMoy;
referencebiblio;file_station;"0";;refBiblio;
surface;file_station;"0";;surface;
typesol;file_station;"0";;typeSol;
usage;file_station;"0";;usage;
dspublique;file_station;"1";;dSPublique;
identifiantstasinp;file_station;"1";;idStaSINP;
jddmetadonneedeeid;file_station;"1";;idMTD;
jourdatedebut;file_station;"1";yyyy-MM-dd;dateDebut;
jourdatefin;file_station;"1";yyyy-MM-dd;dateFin;
observateur;file_station;"1";;observer;